entity_id,entity_name,suspicion_score,incorporation_date,country
E201,Bluecore Ventures,0.62,2015-03-22,Malta
E202,Northlight Solutions,0.71,2014-07-11,Cyprus
E203,Silk Path Tech,0.55,2016-09-30,Hong Kong
E204,Orion Advisory,0.89,2013-12-05,Bahamas
E205,Summit Capital Group,0.47,2017-01-18,Switzerland
E206,Vertex Dynamics,0.68,2015-11-24,Luxembourg
E207,Horizon Labs,0.72,2016-04-17,Isle of Man
E208,Stratus Holdings,0.63,2014-08-29,Marshall Islands
E209,Apex Nexus,0.81,2013-05-14,Bermuda
E210,Infinitas Corp,0.58,2017-08-03,Liechtenstein
E211,Polaris Innovation,0.65,2015-06-20,Gibraltar
E212,Zenith Edge,0.77,2016-02-12,Andorra
E213,Novum Ventures,0.53,2017-09-01,Seychelles
E214,Aurora Global,0.84,2014-05-06,Cayman Islands
E215,Blue Horizon Capital,0.59,2015-12-15,Jersey
E216,Solaris Partners,0.92,2013-10-22,Vanuatu
E217,Silver Peak Group,0.67,2016-07-25,Anguilla
E218,Infinity Link,0.75,2014-09-08,Samoa
E219,Global Lumen,0.61,2017-03-14,Monaco
E220,Eagle Crest,0.79,2015-01-27,Mauritius
E221,Phoenix Solutions,0.54,2016-10-11,Turks and Caicos
E222,Stellar Axis,0.83,2014-06-13,Saint Kitts and Nevis
E223,Vanguard Insight,0.57,2017-05-19,Guernsey
E224,Crest Capital,0.71,2015-08-26,Saint Lucia
E225,Oceanic Bridge,0.66,2016-01-23,Antigua and Barbuda
E226,Prime Nexus,0.90,2014-11-17,Dominica
E227,Alpine Ventures,0.63,2017-06-29,Cook Islands
E228,Terra Firma,0.76,2015-09-12,Grenada
E229,Ascent Partners,0.60,2016-04-30,Saint Vincent and Grenadines
E230,Nexus Path,0.85,2013-12-28,Belize
E231,Orion Ventures,0.52,2017-10-25,Nauru
E232,Summit Edge,0.74,2014-07-07,Palau
E233,Infinity Core,0.68,2015-11-15,Kiribati
E234,Blue Horizon,0.81,2016-08-18,Tonga
E235,Silver Lumen,0.55,2017-02-05,Comoros
E236,Aurora Peak,0.89,2014-04-19,Maldives
E237,Stellar Bridge,0.64,2015-07-02,San Marino
E238,Vanguard Dynamics,0.77,2016-12-21,Barbados
E239,Terra Advisory,0.59,2017-09-14,Niue
E240,Oceanic Axis,0.93,2013-08-03,Aruba
E241,Phoenix Capital,0.62,2015-01-16,Macau
E242,Crest Ventures,0.70,2016-05-29,Andorra
E243,Alpine Nexus,0.83,2014-10-12,Monaco
E244,Prime Path,0.58,2017-03-27,Liechtenstein
E245,Ascent Global,0.72,2015-06-09,Gibraltar
E246,Infinity Horizon,0.66,2016-11-22,Isle of Man
E247,Northlight Capital,0.91,2014-02-14,Bermuda
E248,Silk Crest,0.57,2017-07-03,Cayman Islands
E249,Vertex Peak,0.75,2015-10-18,Jersey
E250,Horizon Dynamics,0.61,2016-03-13,Vanuatu
E251,Stratus Global,0.84,2014-11-26,Anguilla
E252,Apex Path,0.69,2017-06-08,Samoa
E253,Novum Edge,0.53,2015-12-31,Monaco
E254,Aurora Ventures,0.88,2016-09-14,Mauritius
E255,Bluecore Capital,0.59,2014-08-09,Turks and Caicos
E256,Summit Advisory,0.73,2017-01-22,Saint Kitts and Nevis
E257,Zenith Solutions,0.65,2015-04-27,Guernsey
E258,Polaris Peak,0.80,2016-07-19,Saint Lucia
E259,Orion Bridge,0.54,2014-12-10,Antigua and Barbuda
E260,Infinitas Ventures,0.92,2017-08-31,Dominica
E261,Silk Pacific,0.67,2015-05-12,Cook Islands
E262,Stellar Partners,0.76,2016-02-21,Grenada
E263,Vanguard Axis,0.62,2017-04-25,Saint Vincent and Grenadines
E264,Crest Global,0.89,2014-09-03,Belize
E265,Alpine Insight,0.60,2015-10-26,Nauru
E266,Prime Capital,0.74,2016-12-07,Palau
E267,Ascent Dynamics,0.57,2017-05-29,Kiribati
E268,Infinity Ventures,0.85,2014-07-18,Tonga
E269,Northlight Peak,0.63,2015-11-08,Comoros
E270,Silk Nexus,0.71,2016-03-27,Maldives
E271,Vertex Bridge,0.56,2017-09-30,San Marino
E272,Horizon Capital,0.82,2014-06-21,Barbados
E273,Stratus Edge,0.68,2015-08-13,Niue
E274,Apex Advisory,0.90,2016-01-26,Aruba
E275,Novum Path,0.55,2017-04-09,Macau
E276,Aurora Dynamics,0.64,2014-11-15,Andorra
E277,Bluecore Solutions,0.77,2015-06-28,Monaco
E278,Summit Ventures,0.59,2016-11-12,Liechtenstein
E279,Zenith Global,0.72,2017-02-28,Gibraltar
E280,Polaris Capital,0.66,2014-10-05,Isle of Man
E281,Orion Partners,0.81,2015-09-19,Bermuda
E282,Infinitas Peak,0.58,2016-08-02,Cayman Islands
E283,Silk Insight,0.83,2017-01-14,Jersey
E284,Stellar Advisory,0.70,2014-05-07,Vanuatu
E285,Vanguard Ventures,0.86,2015-12-20,Anguilla
E286,Crest Path,0.61,2016-04-24,Samoa
E287,Alpine Dynamics,0.78,2017-07-17,Monaco
E288,Prime Capital,0.65,2014-08-31,Mauritius
E289,Ascent Edge,0.91,2015-10-04,Turks and Caicos
E290,Infinity Peak,0.53,2016-09-27,Saint Kitts and Nevis
E291,Northlight Insight,0.75,2017-04-21,Guernsey
E292,Silk Ventures,0.67,2014-07-10,Saint Lucia
E293,Vertex Partners,0.82,2015-11-23,Antigua and Barbuda
E294,Horizon Path,0.57,2016-12-16,Dominica
E295,Stratus Global,0.80,2017-03-22,Cook Islands
E296,Apex Capital,0.68,2014-09-28,Grenada
E297,Novum Solutions,0.89,2015-08-07,Saint Vincent and Grenadines
E298,Aurora Peak,0.60,2016-05-26,Belize
E299,Bluecore Nexus,0.73,2017-06-19,Nauru
E300,Summit Capital,0.55,2014-12-13,Palau
E201,TestCo1,0.95,2010-01-01
E202,TestCo2,0.90,2011-02-01
E203,TestCo3,0.92,2012-03-01
